Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do,Khu vuc ma hoa,duong ma hoa
Co-op for sale,2175.0,4,4,2184,New York County,Manhattan,40.7468058,-73.9797483,1,4
Co-op for sale,1296.0,2,2,1200,New York County,Manhattan,40.7709564,-73.9487946,1,4
Co-op for sale,450.0,2,1,1100,Kings County,Sheepshead Bay,40.595967,-73.9504018,3,43
Condo for sale,649.0,3,2,1770,Queens County,Rockaway Park,40.5838274,-73.8243138,5,66
Pending,1295.0,2,2,2000,New York County,Manhattan,40.7450475,-73.9923569,1,4
Pending,1775.0,2,2,2184,Kings County,Brooklyn Heights,40.6965907,-73.9926789,3,52
Co-op for sale,265.0,2,1,900,Kings County,Sheepshead Bay,40.5920038,-73.9410354,3,43
Pending,769.0,2,2,2184,New York,Queens,40.7339071,-73.8535727,0,11
Multi-family home for sale,1350.0,9,3,3318,New York,The Bronx,40.8262094,-73.9164423,0,16
Multi-family home for sale,797.777,4,2,2184,New York,Queens,40.6764388,-73.8008604,0,11
Pending,680.0,4,2,1536,New York,Queens,40.6729488,-73.8425151,0,11
House for sale,549.0,4,2,2184,New York,Queens,40.6027057,-73.7548417,0,11
House for sale,749.0,3,2,1400,New York,Brooklyn,40.6306818,-73.9325033,0,3
Co-op for sale,398.0,3,1,900,Kings County,Mapleton,40.617177,-73.986447,3,127
Condo for sale,680.0,2,2,847,Queens County,Elmhurst,40.7367106,-73.8722089,5,9
Co-op for sale,499.0,2,1,2184,Queens County,Jackson Heights,40.7537299,-73.88503,5,18
Townhouse for sale,2250.0,4,2,1360,New York,Brooklyn,40.6568189,-73.9795706,0,3
Pending,550.0,3,2,1520,New York,Staten Island,40.5878221,-74.097086,0,1
Pending,2650.0,5,2,2500,New York County,Manhattan,40.7804508,-73.9582141,1,4
Townhouse for sale,1500.0,14,7,6375,New York,The Bronx,40.8426571,-73.8884167,0,16
Co-op for sale,999.0,1,1,2184,Kings County,Park Slope,40.6698886,-73.9726587,3,29
Condo for sale,799.0,2,2,868,Queens County,Bayside,40.7696789,-73.772159,5,39
Condo for sale,699.0,1,1,2184,Queens,61st Street,40.7441863,-73.9037635,9,160
Co-op for sale,940.0,2,1,2184,New York County,Manhattan,40.7689684,-73.9543121,1,4
Condo for sale,1395.0,2,2,2184,New York County,Manhattan,40.778484,-73.9524912,1,4
House for sale,629.0,3,2,1575,New York,The Bronx,40.8734881,-73.8582333,0,16
Townhouse for sale,2850.0,4,2,1725,New York,Brooklyn,40.6622005,-73.9869853,0,3
Co-op for sale,999.0,1,1,2184,Kings County,Park Slope,40.6698886,-73.9726587,3,29
Townhouse for sale,1500.0,14,7,6375,New York,The Bronx,40.8426571,-73.8884167,0,16
Co-op for sale,940.0,2,1,2184,New York County,Manhattan,40.7689684,-73.9543121,1,4
Co-op for sale,2995.0,3,4,2184,New York County,Manhattan,40.7703005,-73.9804715,1,4
Co-op for sale,2750.0,2,2,2184,New York County,Manhattan,40.7687082,-73.9694439,1,4
Townhouse for sale,1100.0,9,3,3944,New York,The Bronx,40.8473585,-73.9057344,0,16
Co-op for sale,1395.0,2,2,2184,New York County,Manhattan,40.7716485,-73.9646206,1,4
Pending,599.0,3,3,1392,New York,Staten Island,40.5556599,-74.1550879,0,1
Condo for sale,1395.0,2,2,2184,New York County,Manhattan,40.778484,-73.9524912,1,4
Multi-family home for sale,1049.0,6,2,2184,New York,Queens,40.7124648,-73.8767192,0,11
Co-op for sale,925.0,3,2,1700,New York County,Manhattan,40.7640501,-73.964336,1,4
Condo for sale,1695.0,2,2,1035,Kings County,Williamsburg,40.7163702,-73.9515728,3,23
Condo for sale,599.0,1,1,958,Queens County,Flushing,40.7494499,-73.8778676,5,8
Co-op for sale,1250.0,2,2,1350,New York County,Manhattan,40.7695956,-73.9688773,1,4
Condo for sale,610.0,3,2,923,Kings County,Fort Greene,40.6863077,-73.9709274,3,120
Multi-family home for sale,2299.0,8,5,2700,New York,Queens,40.7556144,-73.777277,0,11
House for sale,1350.0,3,2,2184,New York,New York,40.7970316,-73.9395297,0,2
Co-op for sale,2395.0,4,4,3600,New York County,Manhattan,40.7491926,-73.9695417,1,4
Condo for sale,1080.0,2,2,1545,Queens County,College Point,40.7841243,-73.8569018,5,155
Pending,450.0,2,1,2184,Kings County,Southside,40.709819,-73.957902,3,118
Multi-family home for sale,2250.0,10,2,5200,New York,Brooklyn,40.6266296,-74.0077129,0,3
Co-op for sale,588.888,3,2,1150,Queens County,Rego Park,40.7318958,-73.8599645,5,14
Co-op for sale,279.0,2,1,2184,Queens County,Jamaica,40.7063799,-73.79996,5,35
Condo for sale,1199.0,2,1,1080,Kings County,Fort Hamilton,40.6163434,-74.0377889,3,12
House for sale,1390.0,3,2,1276,New York,The Bronx,40.8807227,-73.8993457,0,16
Multi-family home for sale,1150.0,6,3,2400,New York,Brooklyn,40.6309272,-73.9303563,0,3
Condo for sale,650.0,2,2,1013,Bronx County,Riverdale,40.8870567,-73.908722,4,67
House for sale,599.999,3,2,1340,New York,Brooklyn,40.6677486,-73.9134481,0,3
Co-op for sale,395.0,2,1,950,Bronx County,North Riverdale,40.909252,-73.905421,4,13
Co-op for sale,299.0,1,1,700,Queens County,Flushing,40.7547282,-73.8859706,5,8
Condo for sale,549.0,2,2,1113,Queens County,Howard Beach,40.6687898,-73.8494942,5,61
Condo for sale,1350.0,2,2,1066,Kings County,Greenpoint,40.7200818,-73.9473654,3,99
Condo for sale,499.0,1,1,571,Queens County,Flushing,40.7440779,-73.9118986,5,8
Condo for sale,1351.242,2,2,1026,Queens County,Long Island City,40.747963,-73.944456,5,86
Co-op for sale,249.0,2,1,830,Kings County,Gravesend,40.5871568,-73.9709274,3,74
Condo for sale,479.0,1,2,1096,Kings County,Cypress Hills,40.6874842,-73.8754674,3,161
Condo for sale,1899.0,3,2,1757,Kings County,Brighton Beach,40.5769367,-73.9570143,3,30
Co-op for sale,275.0,1,1,694,Queens County,Jamaica,40.7102499,-73.81917,5,35
Condo for sale,2150.0,2,2,1711,New York County,Manhattan,40.771979,-73.9889567,1,4
Co-op for sale,1999.0,3,3,1950,New York County,Manhattan,40.7851745,-73.9538945,1,4
House for sale,1588.0,5,2,2580,New York,Brooklyn,40.6122575,-74.0082788,0,3
Townhouse for sale,3200.0,7,4,2976,New York,Brooklyn,40.6861131,-73.9882714,0,3
Co-op for sale,1999.0,2,2,2184,New York County,Manhattan,40.7776874,-73.9585526,1,4
Condo for sale,1745.0,2,2,1574,Queens County,Long Island City,40.7457551,-73.9417456,5,86
House for sale,1488.0,3,2,2886,New York,Staten Island,40.5792773,-74.1211285,0,1
Condo for sale,1494.0,1,2,1444,New York County,Manhattan,40.7719269,-73.949189,1,4
Multi-family home for sale,1108.9,6,2,2664,New York,Brooklyn,40.63089,-74.018305,0,3
Multi-family home for sale,3200.0,3,4,3040,New York,Brooklyn,40.6817403,-73.9916448,0,3
House for sale,650.0,3,2,1110,New York,Staten Island,40.6057728,-74.0906176,0,1
Townhouse for sale,2050.0,12,8,8049,New York,Brooklyn,40.6743116,-73.9522812,0,3
Multi-family home for sale,1998.0,19,8,5890,New York,Brooklyn,40.6585481,-73.9859643,0,3
House for sale,1250.0,5,4,2755,New York,Staten Island,40.5923372,-74.0687941,0,1
Co-op for sale,749.0,2,1,1000,New York County,Manhattan,40.7686208,-73.9544906,1,4
Contingent,235.0,3,1,301,New York,Staten Island,40.5781324,-74.1603451,0,1
Multi-family home for sale,1215.0,13,7,5250,New York,The Bronx,40.82384,-73.8695469,0,16
Co-op for sale,399.0,1,1,2184,Queens County,Flushing,40.721991,-73.8393784,5,8
Co-op for sale,2465.0,2,2,1400,New York County,Manhattan,40.7873301,-73.9797201,1,4
Co-op for sale,1200.0,2,2,2184,New York County,Manhattan,40.7854218,-73.9544887,1,4
Co-op for sale,439.0,3,1,475,New York County,Manhattan,40.7308814,-73.9937801,1,4
Condo for sale,975.0,2,2,930,Kings County,Bushwick,40.6869771,-73.9126141,3,46
Townhouse for sale,1499.0,6,4,2184,New York,Brooklyn,40.6878701,-73.9272448,0,3
Condo for sale,650.0,3,1,1050,Flatbush,2501,40.6492401,-73.9534818,10,162
Townhouse for sale,2550.0,8,4,3900,New York,Brooklyn,40.6616741,-73.985673,0,3
House for sale,3200.0,6,5,5000,New York,New York,40.8079404,-73.942354,0,2
Condo for sale,1999.999,4,4,2743,New York County,Manhattan,40.7895034,-73.9769713,1,4
Condo for sale,460.0,1,1,518,Kings County,Sheepshead Bay,40.5869759,-73.9514442,3,43
Condo for sale,1395.0,2,2,1003,New York,Brooklyn,40.6930476,-73.9611241,0,3
Co-op for sale,290.0,1,1,2184,Queens County,Flushing,40.7298599,-73.81851,5,8
Multi-family home for sale,1990.0,6,5,2100,New York,Queens,40.7556078,-73.7775019,0,11
Townhouse for sale,2980.0,6,3,3210,New York,Brooklyn,40.6577712,-73.9762759,0,3
House for sale,2595.0,7,6,4950,New York,Staten Island,40.5184841,-74.2244185,0,1
Pending,599.889,2,2,2184,New York,Queens,40.6782347,-73.7528651,0,11
Multi-family home for sale,589.0,3,2,1560,New York,Brooklyn,40.6758932,-73.8787634,0,3
Co-op for sale,1139.0,3,2,1800,Queens County,Forest Hills,40.7201292,-73.8398387,5,15
